Points:0, Points:1, Points:2, scalars
0.14100E+04, 0.29404E+03, -0.96259E+03, 1
0.14632E+04, 0.19397E+03, -0.96308E+03, 1
0.15172E+04, 0.92932E+02, -0.96195E+03, 1
0.15079E+04, 0.48596E+03, -0.11145E+04, 1
0.14224E+04, 0.26837E+03, -0.96227E+03, 1
0.14559E+04, 0.38985E+03, -0.96119E+03, 1
0.15093E+04, 0.48681E+03, -0.10647E+04, 1
0.14443E+04, 0.22726E+03, -0.96300E+03, 1
0.14832E+04, 0.35127E+03, -0.96137E+03, 1
0.15109E+04, 0.48722E+03, -0.10512E+04, 1
0.14554E+04, 0.21074E+03, -0.96250E+03, 1
0.15890E+04, -0.43203E+02, -0.10140E+04, 1
0.14580E+04, 0.19482E+03, -0.96361E+03, 1
0.15103E+04, 0.48930E+03, -0.10708E+04, 1
0.15899E+04, -0.39321E+02, -0.96400E+03, 1
0.15876E+04, -0.39131E+02, -0.99682E+03, 1
0.15898E+04, -0.42806E+02, -0.10573E+04, 1
0.15060E+04, 0.48616E+03, -0.10919E+04, 1
0.14399E+04, 0.22772E+03, -0.96255E+03, 1
0.15866E+04, -0.41126E+02, -0.98151E+03, 1
0.14194E+04, 0.27239E+03, -0.96135E+03, 1
0.15078E+04, 0.48535E+03, -0.98830E+03, 1
0.15796E+04, -0.24851E+02, -0.96244E+03, 1
0.15415E+04, 0.50907E+02, -0.96292E+03, 1
0.14333E+04, 0.42276E+03, -0.96136E+03, 1
0.14931E+04, 0.13912E+03, -0.96069E+03, 1
0.15315E+04, 0.67933E+02, -0.96547E+03, 1
0.14606E+04, 0.18996E+03, -0.96280E+03, 1
0.14660E+04, 0.37817E+03, -0.96266E+03, 1
0.14530E+04, 0.39652E+03, -0.96528E+03, 1
0.14390E+04, 0.41752E+03, -0.96316E+03, 1
0.14592E+04, 0.39324E+03, -0.96393E+03, 1
0.15890E+04, -0.40405E+02, -0.10486E+04, 1
0.15229E+04, 0.81177E+02, -0.96362E+03, 1
0.14891E+04, 0.14178E+03, -0.96294E+03, 1
0.14739E+04, 0.37192E+03, -0.96446E+03, 1
0.15042E+04, 0.11532E+03, -0.96009E+03, 1
0.14965E+04, 0.12933E+03, -0.96457E+03, 1
0.14585E+04, 0.20444E+03, -0.96364E+03, 1
0.14749E+04, 0.37204E+03, -0.96428E+03, 1
0.15895E+04, -0.38724E+02, -0.96385E+03, 1
0.15083E+04, 0.48887E+03, -0.11446E+04, 1
0.14616E+04, 0.33390E+03, -0.96491E+03, 1
0.15730E+04, -0.83417E+00, -0.96247E+03, 1
0.14828E+04, 0.36290E+03, -0.96008E+03, 1
0.15319E+04, 0.64000E+02, -0.96085E+03, 1
0.14579E+04, 0.39429E+03, -0.96441E+03, 1
0.14468E+04, 0.21626E+03, -0.96359E+03, 1
0.15863E+04, -0.39899E+02, -0.10295E+04, 1
0.15795E+04, -0.20309E+02, -0.96198E+03, 1
0.14621E+04, 0.19471E+03, -0.96443E+03, 1
0.15772E+04, -0.13896E+02, -0.96294E+03, 1
0.15047E+04, 0.11413E+03, -0.96344E+03, 1
0.15891E+04, -0.38623E+02, -0.10426E+04, 1
0.14314E+04, 0.25153E+03, -0.96128E+03, 1
0.14991E+04, 0.12196E+03, -0.96271E+03, 1
0.15076E+04, 0.48934E+03, -0.10070E+04, 1
0.15085E+04, 0.48827E+03, -0.10516E+04, 1
0.14702E+04, 0.17467E+03, -0.96056E+03, 1
0.15297E+04, 0.70214E+02, -0.96088E+03, 1
0.15344E+04, 0.61634E+02, -0.96328E+03, 1
0.14600E+04, 0.44646E+03, -0.96240E+03, 1
0.15868E+04, -0.38528E+02, -0.98849E+03, 1
0.15071E+04, 0.48750E+03, -0.96094E+03, 1
0.15514E+04, 0.33647E+02, -0.95970E+03, 1
0.15142E+04, 0.97943E+02, -0.96392E+03, 1
0.15081E+04, 0.48865E+03, -0.10377E+04, 1
0.15446E+04, 0.44858E+02, -0.96131E+03, 1
0.15102E+04, 0.48582E+03, -0.10488E+04, 1
0.14685E+04, 0.33895E+03, -0.96239E+03, 1
0.15895E+04, -0.40769E+02, -0.10577E+04, 1
0.14698E+04, 0.17589E+03, -0.96413E+03, 1
0.15080E+04, 0.48921E+03, -0.99073E+03, 1
0.15772E+04, -0.10737E+02, -0.96325E+03, 1
